"","long","lat","primary_fur_color"
"1",-73.9639159298446,40.7891774637988,"Gray"
"2",-73.9757216124349,40.7754310239649,"Cinnamon"
"3",-73.9600738985438,40.7938328798752,NA
"4",-73.9538475741188,40.796479421955,"Gray"
"5",-73.980919134781,40.7683772453336,"Gray"
"6",-73.9651155880346,40.790694632578,"Gray"
"7",-73.9796985410897,40.7678612835067,"Gray"
"8",-73.9547959269955,40.7925162926273,"Gray"
"9",-73.963846339804,40.7834051716226,"Cinnamon"
"10",-73.9664054327771,40.7756180893318,"Gray"
"11",-73.9563311167069,40.7950901563337,"Cinnamon"
"12",-73.9588714413332,40.7895787115444,"Gray"
"13",-73.9685567075413,40.7703797723105,"Gray"
"14",-73.978400938697,40.7677411911854,"Gray"
"15",-73.9522704511969,40.7965668878961,"Gray"
"16",-73.958939037549,40.7913193931203,"Gray"
"17",-73.9745953710328,40.7728284025195,"Gray"
"18",-73.9637279711853,40.7905198502307,"Gray"
"19",-73.965394655961,40.7763136791661,"Gray"
"20",-73.9623984262936,40.7913900453449,"Gray"
"21",-73.9771575249322,40.7673873716547,"Gray"
"22",-73.9719111470164,40.7758789855474,"Gray"
"23",-73.9747311312394,40.7677319725044,"Gray"
"24",-73.9653343572865,40.7775286924617,"Gray"
"25",-73.9532804650089,40.7934579333341,NA
